CustomerID,Recency,Frequency,MonetaryTotal,Cluster,Churn
17850,302,35,5288.630000000001,0,1
13047,32,18,3079.1,2,0
12583,3,18,7187.34,2,0
13748,96,5,948.25,2,1
15100,330,6,635.1,0,1
15291,26,20,4596.51,2,0
14688,8,27,5107.38,2,0
17809,16,15,4627.62,2,0
15311,1,118,59419.34,1,0
14527,3,86,7711.38,1,0
16098,88,7,2005.63,2,0
18074,374,1,489.6,0,1
17420,50,3,598.83,2,0
16029,39,76,50992.61,1,0
16250,261,2,389.44,0,1
12431,36,18,6416.389999999999,2,0
17511,3,46,88125.38,1,0
17548,218,3,-141.48,0,1
13705,8,3,711.86,2,0
13747,374,1,79.6,0,1
13408,2,81,27487.41,1,0
13767,2,52,16945.71,2,0
17924,1,13,2894.33,2,0
13448,17,10,3465.6700000000005,2,0
15862,8,4,832.88,2,0
15513,31,22,14520.080000000002,2,0
12791,374,1,192.6,0,1
16218,30,8,3054.87,2,0
14045,109,4,1659.75,2,1
14307,89,6,2995.72,2,0
17908,374,1,243.28,0,1
17920,4,17,4204.1,2,0
12838,34,2,683.13,2,0
13255,4,3,390.66,2,0
16583,374,1,233.45,0,1
18085,330,2,689.9499999999999,0,1
13758,12,7,3190.55,2,0
13694,4,60,62653.1,1,0
15983,22,4,1475.02,2,0
14849,22,28,7904.280000000001,2,0
17968,374,1,277.35,0,1
16210,2,18,21086.300000000003,2,0
17897,173,4,541.1,0,1
17377,24,21,3925.92,2,0
16552,243,2,379.73,0,1
17181,57,2,239.92,2,0
17951,40,4,990.8400000000004,2,0
14729,374,1,313.49000000000007,0,1
12748,1,224,29072.1,1,0
15012,54,2,423.04,2,0
12868,186,6,1607.0600000000002,0,1
17572,71,4,226.75,2,0
14078,102,6,1049.37,2,1
14001,46,4,2030.33,2,0
12662,1,12,3817.08,2,0
15525,2,4,811.02,2,0
14237,373,1,161.00000000000003,0,1
17905,71,4,800.24,2,0
15485,30,3,2575.0,2,0
12433,1,7,13375.87,2,0
16955,185,5,493.67,0,1
15350,373,1,115.65,0,1
15605,36,5,1198.23,2,0
18144,8,12,2888.7500000000005,2,0
15922,372,2,363.6000000000001,0,1
14594,7,2,379.8299999999999,2,0
15165,373,1,487.75,0,1
14911,1,248,132572.62,1,0
16456,99,5,2158.3700000000003,2,1
17841,2,169,40340.78,1,0
12472,31,13,6229.48,2,0
17346,4,16,2611.58,2,0
17643,373,1,101.55,0,1
17873,80,6,1764.3600000000004,2,0
13093,267,13,7741.47,0,1
12921,4,50,16389.74,2,0
13468,2,41,5656.75,2,0
17760,22,2,287.59000000000003,2,0
16928,80,19,2781.5,2,0
16048,86,3,243.69000000000003,2,0
16274,373,1,357.94999999999993,0,1
14496,312,2,538.8100000000001,0,1
14696,4,9,2070.9700000000003,2,0
16539,3,4,1388.81,2,0
17025,61,3,357.77,2,0
13777,1,41,25748.35,2,0
17690,30,16,4748.45,2,0
12947,144,11,1407.2900000000002,2,1
17460,79,8,452.63000000000005,2,0
18229,12,20,7276.9,2,0
14142,373,1,311.81,0,1
17069,28,13,2655.2200000000003,2,0
13065,373,1,205.86,0,1
14606,1,128,11713.85,1,0
16835,128,2,180.85,2,1
15235,218,12,2247.51,0,1
13576,10,20,6703.300000000001,2,0
18011,373,1,102.79,0,1
13090,9,18,8689.39,2,0
15694,1,15,6423.599999999999,2,0
14741,12,6,1400.34,2,0
13715,281,8,1053.94,0,1
14092,8,17,4063.1,2,0
17732,373,1,303.97,0,1
12855,373,1,38.1,0,1
15752,40,8,2628.93,2,0
17855,373,1,208.97,0,1
14047,9,7,1290.0099999999998,2,0
17925,373,1,244.08,0,1
13941,22,7,4912.409999999999,2,0
17017,3,27,8574.11,2,0
14135,2,15,4690.31,2,0
13108,373,1,350.05999999999995,0,1
12471,2,49,18740.92,2,0
15601,11,17,6745.360000000001,2,0
13418,12,23,5845.4400000000005,2,0
14766,8,8,2423.07,2,0
15658,190,8,958.9,0,1
14388,9,10,3172.04,2,0
14901,11,10,1414.99,2,0
18041,12,22,4161.14,2,0
15955,24,16,4389.81,2,0
15070,373,1,106.2,0,1
16244,212,2,1522.75,0,1
15111,29,3,1567.4799999999998,2,0
14390,10,13,4592.47,2,0
16546,291,3,-95.92999999999998,0,1
15260,100,8,1780.7699999999998,2,1
13305,4,10,2000.86,2,0
14491,175,2,340.93,0,1
14060,5,20,6135.38,2,0
15923,373,1,127.08,0,1
16752,373,1,207.5,0,1
17287,26,7,1064.11,2,0
15363,241,2,318.05,0,1
12915,149,2,363.65,0,1
15544,9,11,3542.51,2,0
15738,19,19,4788.77,2,0
16042,22,7,1147.37,2,0
17381,9,30,20272.43,2,0
15827,73,20,1641.4800000000002,2,0
14180,11,31,4640.77,2,0
13117,22,8,984.91,2,0
16916,24,2,576.2600000000001,2,0
17964,32,2,471.69999999999993,2,0
14466,29,7,2272.4,2,0
17235,25,2,550.0600000000002,2,0
16510,372,1,248.1,0,1
17802,82,4,1251.84,2,0
15107,311,8,247.66,0,1
17976,372,1,353.19000000000005,0,1
14449,19,4,907.1,2,0
15838,11,21,33350.759999999995,2,0
16781,365,2,294.65000000000003,0,1
17547,372,1,-11.8,0,1
13491,52,10,1215.8199999999997,2,0
16186,23,13,3991.94,2,0
17685,17,7,3191.53,2,0
17581,1,31,10736.11,2,0
15732,212,2,294.11999999999995,0,1
13138,22,6,962.39,2,0
15823,337,2,-840.7599999999999,0,1
17567,7,10,4012.56,2,0
15061,4,55,54228.740000000005,1,0
16203,59,5,589.15,2,0
15640,4,17,12433.34,2,0
15574,178,4,702.25,0,1
16770,58,6,744.9000000000001,2,0
17838,27,6,2312.7000000000003,2,0
17228,16,8,1906.09,2,0
14829,29,6,644.65,2,0
17412,3,7,1258.0600000000002,2,0
14031,7,23,14634.64,2,0
14775,58,3,1011.9,2,0
12971,4,89,10930.259999999998,1,0
15834,70,6,2084.9,2,0
17659,4,14,2954.75,2,0
15299,67,11,3787.09,2,0
15646,158,4,425.14,0,1
13958,372,1,-102.45,0,1
14443,54,7,1400.88,2,0
14156,10,66,113384.14,1,0
16995,372,1,-1.25,0,1
13402,127,2,621.2300000000002,2,1
18168,176,9,1133.64,0,1
17757,1,31,5585.49,2,0
14625,185,5,848.48,0,1
13011,372,1,50.55,0,1
13798,1,63,36351.42,1,0
15384,170,3,635.7600000000001,0,1
14264,155,3,319.47,0,1
13295,360,2,197.95,0,1
16754,372,1,2002.4,0,1
16634,223,2,217.9,0,1
18239,219,5,1561.61,0,1
14576,372,1,35.400000000000006,0,1
13145,40,5,614.77,2,0
14395,2,12,3471.91,2,0
14865,7,2,52.2,2,0
15093,18,9,4410.14,2,0
12738,372,1,155.35,0,1
16150,39,10,1906.07,2,0
17552,43,6,909.96,2,0
14236,81,2,490.86,2,0
17961,21,39,1296.44,2,0
14573,180,13,1603.72,0,1
17135,16,7,1139.73,2,0
17396,39,8,7330.8,2,0
14213,372,1,-1192.2000000000005,0,1
12967,3,4,1194.75,2,0
12686,372,1,89.14,0,1
14679,372,1,-2.55,0,1
15240,45,7,1685.5700000000002,2,0
18225,3,17,5361.02,2,0
13370,366,2,721.3199999999999,0,1
16883,187,2,276.73,0,1
13520,59,8,3487.7499999999995,2,0
12841,5,26,3876.4,2,0
16905,5,8,3085.4800000000005,2,0
12427,12,5,708.37,2,0
17967,372,1,123.07,0,1
16891,2,5,809.7,2,0
14589,372,1,39.75,0,1
14680,25,23,26932.34,2,0
17884,4,4,717.45,2,0
12557,16,5,11990.96,2,0
14083,4,9,1018.43,2,0
13013,1,15,4786.99,2,0
14210,91,7,1900.89,2,1
16477,64,7,2494.46,2,0
12600,29,11,2581.04,2,0
16013,4,54,33366.25,1,0
17949,1,52,52750.84,1,0
12779,21,12,3868.7,2,0
16926,371,1,230.25000000000003,0,1
17787,153,4,1865.19,0,1
12682,4,31,12288.22,2,0
14723,10,6,1158.3,2,0
17954,5,16,2295.37,2,0
17819,72,8,3661.07,2,0
12712,23,17,4241.629999999999,2,0
15373,8,13,2213.11,2,0
16140,53,4,703.7700000000001,2,0
17198,24,3,692.2199999999999,2,0
17238,3,17,3744.65,2,0
12793,335,2,545.48,0,1
15769,7,29,51823.72,1,0
14396,65,2,487.99000000000007,2,0
14898,23,8,1228.3200000000002,2,0
12725,371,1,427.8,0,1
16725,302,8,775.0700000000002,0,1
12395,16,15,2998.28,2,0
16455,64,7,1841.18,2,0
13081,1,21,27964.48,2,0
15545,54,2,292.72,2,0
17243,1,30,8628.550000000001,2,0
15465,20,24,6945.02,2,0
15708,41,11,3329.72,2,0
13089,3,118,57385.88,1,0
16033,6,27,8727.61,2,0
13838,6,4,691.7299999999999,2,0
15351,12,10,1862.14,2,0
18055,7,11,6752.139999999999,2,0
15038,43,7,665.59,2,0
18109,2,31,7925.320000000001,2,0
13069,1,27,3717.82,2,0
16241,10,13,2607.8700000000003,2,0
14800,48,16,4236.34,2,0
16839,9,39,15357.78,2,0
16168,11,28,3770.6,2,0
16931,5,21,4604.219999999999,2,0
16814,14,22,6500.6,2,0
13269,1,17,5315.92,2,0
14813,370,2,155.42999999999998,0,1
12567,23,11,9114.94,2,0
17062,314,5,534.47,0,1
15332,366,4,1661.06,0,1
14810,41,11,2087.88,2,0
16353,4,23,6675.710000000001,2,0
18118,11,31,5595.77,2,0
13831,16,6,2202.99,2,0
13506,312,3,452.82,0,1
17796,40,4,697.9000000000001,2,0
15716,146,4,1118.81,0,1
18156,13,2,734.94,2,0
15221,366,2,114.10000000000004,0,1
16983,13,8,1920.2,2,0
17059,30,5,3095.04,2,0
16327,14,6,3844.22,2,0
17211,27,9,2299.67,2,0
17026,185,2,154.82999999999998,0,1
15570,7,13,4109.97,2,0
15880,369,2,313.28,0,1
16718,369,1,623.7500000000001,0,1
15808,306,5,3724.77,0,1
17858,6,12,5155.66,2,0
16393,2,20,2941.05,2,0
14161,216,3,1110.52,0,1
17863,59,6,3160.0,2,0
16411,19,2,214.65,2,0
16402,265,2,299.6,0,1
15023,3,12,6763.16,2,0
17402,5,13,2633.8499999999995,2,0
15426,19,7,1429.9,2,0
12647,22,13,3669.92,2,0
15894,253,2,263.55,0,1
15867,5,16,3797.79,2,0
14506,17,5,2012.17,2,0
15555,12,20,4758.200000000001,2,0
13034,55,2,642.7700000000001,2,0
15889,157,2,446.87,0,1
15953,15,10,1634.5299999999995,2,0
16143,3,7,2419.84,2,0
12720,3,29,5713.28,2,0
16422,17,75,33805.69,1,0
12747,2,11,4196.009999999999,2,0
15502,16,23,5541.460000000001,2,0
12763,138,2,494.08,2,1
14081,267,4,904.67,0,1
17965,38,14,2622.57,2,0
14404,34,7,1434.7200000000005,2,0
13579,15,2,467.0400000000001,2,0
13174,16,3,2817.03,2,0
15987,12,7,1451.28,2,0
17677,2,43,16219.22,2,0
13652,46,3,1095.08,2,0
12586,17,2,179.94,2,0
17428,1,33,17078.449999999997,2,0
16161,2,26,5352.97,2,0
16858,366,2,345.8900000000001,0,1
18219,3,11,2019.77,2,0
14293,3,4,1046.56,2,0
14748,29,6,1311.79,2,0
16638,23,11,1676.47,2,0
17674,74,2,551.0400000000001,2,0
12808,37,3,483.65,2,0
13094,21,16,1708.86,2,0
15899,369,1,56.25,0,1
12708,30,16,2616.32,2,0
15898,1,6,1384.6799999999998,2,0
17691,358,2,290.4,0,1
17227,19,6,939.32,2,0
15039,10,52,19786.44,2,0
15919,20,2,639.8900000000001,2,0
13497,283,3,321.04999999999995,0,1
15860,41,8,977.2099999999998,2,0
14189,2,24,4604.31,2,0
15304,61,10,680.3000000000002,2,0
14867,186,4,701.33,0,1
14344,127,8,889.9300000000002,2,1
12474,17,30,7116.469999999999,2,0
16719,15,8,1773.92,2,0
15048,65,5,380.5700000000001,2,0
15301,51,14,5028.119999999999,2,0
14708,3,4,1096.6699999999998,2,0
16898,26,4,444.46,2,0
14825,4,12,2226.9100000000003,2,0
18113,369,1,76.32000000000001,0,1
17596,23,7,2827.9300000000003,2,0
15078,7,38,9623.35,2,0
14085,2,19,4435.790000000001,2,0
17860,369,1,252.8,0,1
13155,33,4,971.7600000000002,2,0
15028,8,4,627.1300000000001,2,0
16919,156,11,2596.4500000000003,2,1
17259,148,2,603.37,0,1
17019,11,4,1272.61,2,0
14487,27,7,1183.58,2,0
16722,17,16,4711.21,2,0
15882,199,5,495.36000000000007,0,1
14667,11,27,9231.2,2,0
16710,19,10,2483.04,2,0
16550,109,9,2266.25,2,1
15984,3,11,2816.9700000000003,2,0
17682,10,7,2459.3299999999995,2,0
16658,368,1,123.24,0,1
17068,12,22,4531.34,2,0
15356,31,10,2766.5,2,0
17223,310,2,426.79,0,1
16817,3,13,1446.95,2,0
13030,11,2,799.4800000000001,2,0
17191,28,7,2095.13,2,0
15194,3,22,7521.17,2,0
14409,71,7,1908.25,2,0
16654,141,5,594.9699999999999,2,1
16861,60,3,151.65,2,0
16138,368,1,-7.95,0,1
13481,46,8,1776.81,2,0
13495,8,6,1990.12,2,0
17519,17,7,1839.07,2,0
17218,4,10,1960.72,2,0
17812,13,4,732.1599999999999,2,0
14215,12,7,1777.92,2,0
15602,8,15,1083.63,2,0
17320,100,3,1200.62,2,1
16782,10,19,2242.25,2,0
12913,5,5,2483.63,2,0
17869,107,5,428.18,2,1
13564,144,5,647.7400000000004,2,1
14850,312,2,278.15000000000003,0,1
15021,9,13,1872.28,2,0
13963,308,4,664.5400000000001,0,1
17450,8,55,187482.17,1,0
17091,3,10,3802.81,2,0
17470,45,5,1125.0700000000002,2,0
17616,174,3,571.2,0,1
15649,336,2,816.0,0,1
12681,15,27,13677.59,2,0
14907,3,10,3478.85,2,0
17735,2,19,13110.02,2,0
16059,66,6,1459.86,2,0
17720,26,4,1195.94,2,0
15018,39,4,456.26,2,0
14733,9,15,9451.54,2,0
13756,2,15,5145.120000000001,2,0
14176,297,5,574.0,0,1
13319,5,36,10664.34,2,0
15353,255,2,777.0200000000002,0,1
18119,368,1,181.11999999999995,0,1
17491,1,11,3541.920000000001,2,0
14282,3,15,3729.34,2,0
13569,17,2,373.75,2,0
15498,1,35,12396.46,2,0
14673,3,5,1736.4,2,0
13488,17,17,8910.61,2,0
16221,37,3,864.86,2,0
15002,116,4,1641.7599999999998,2,1
15965,17,4,845.64,2,0
15024,10,10,1661.33,2,0
17675,1,41,20098.1,2,0
13769,2,16,2771.87,2,0
16904,4,16,3754.27,2,0
16086,59,6,1119.31,2,0
13786,367,1,230.4,0,1
13880,21,13,3219.7700000000004,2,0
